Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,"330nF, 50V",C_0603_1608Metric,144.35,-80.075,-90.0,top
C12,"100nF, 50V",C_0603_1608Metric,126.7,-80.3,-90.0,top
C13,"10uF, 50V",C_1206_3216Metric,121.7,-80.3,-90.0,top
C14,"10uF, 50V",C_1206_3216Metric,185.0,-139.05,90.0,top
C15,"2.2uF, 25V",C_0603_1608Metric,180.0,-139.225,90.0,top
C16,"1uF, 50V",C_0603_1608Metric,155.0,-129.225,90.0,top
C17,"10uF, 50V",C_1206_3216Metric,150.0,-128.525,90.0,top
C20,"10uF, 50V",C_1206_3216Metric,147.55,-80.774999,-90.0,top
CN1,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-60.0,-90.0,top
CN10,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-124.0,0.0,top
CN11,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-140.0,-90.0,top
CN12,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-140.0,0.0,top
CN2,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-60.0,0.0,top
CN3,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-76.0,-90.0,top
CN4,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-76.0,0.0,top
CN5,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-92.0,-90.0,top
CN6,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-92.0,0.0,top
CN7,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-108.0,-90.0,top
CN8,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-108.0,0.0,top
CN9,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.379991,-124.0,-90.0,top
J1,C5173368-9001-14641C00A,C5173368-CONN-TH_WINGTAT_9001-14641C00A,201.220002,-100.0,90.0,top
U4,C131946-UA7812CKTTR,C131946-TO-263-3L_L10.0-W9.2-P2.54-TL,136.7,-86.326822,-90.0,top
U5,C358376-79D05,C358376-TO-252-2_L6.5-W6.1-P4.58-LS10.0-BR,170.0,-135.743751,90.0,top
